"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\Views\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Project2\MyMvcBackend\Server\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Project2\MyMvcBackend\Server\appsettings.Production.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Project2\MyMvcBackend\Server\appsettings.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\MyMvcBackend.deps.json", "JSON", 0, 0, 0, 0, 0, 1658, 0, 0, 0, 0, 0, 0, 0, 1658
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\MyMvcBackend.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\MyMvcBackend.staticwebassets.endpoints.json", "JSON", 0, 0, 0, 0, 0, 18862, 0, 0, 0, 0, 0, 0, 0, 18862
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\MyMvcBackend.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\appsettings.Production.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Project2\MyMvcBackend\Server\bin\Debug\net9.0\appsettings.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
